File Name,Training Percentage,Train Extract Time Taken,Test Extract Time Taken,Prediction Time Taken,Accuracy
shuffled11000(10-90)(1).fasta,10,23.58429980278015,203.1630012989044,0.9868488311767578,88.38383838383838
shuffled11000(10-90)(2).fasta,10,23.107014417648315,201.35373950004572,0.8553731441497803,87.60606060606061
shuffled11000(10-90)(3).fasta,10,22.39212274551392,216.6684913635254,0.8805572986602783,83.1010101010101
shuffled11000(10-90)(4).fasta,10,22.631102800369263,201.1404948234558,0.9019031524658203,89.61616161616162
shuffled11000(10-90)(5).fasta,10,22.27265787124633,199.35518765449524,0.8233251571655273,84.05050505050505
shuffled11000(20-80)(1).fasta,20,44.06609511375427,179.8091824054718,1.244239091873169,94.6590909090909
shuffled11000(20-80)(2).fasta,20,44.7151083946228,186.66186690330505,1.230489730834961,91.68181818181819
shuffled11000(20-80)(3).fasta,20,44.78240323066712,182.1438581943512,1.260619878768921,93.625
shuffled11000(20-80)(4).fasta,20,43.47967767715454,175.96584582328796,1.2305452823638916,94.02272727272727
shuffled11000(20-80)(5).fasta,20,46.29401254653931,179.15222430229187,1.2934696674346924,93.98863636363637
shuffled11000(30-70)(1).fasta,30,67.9098744392395,159.5766224861145,1.384286880493164,96.29870129870129
shuffled11000(30-70)(2).fasta,30,68.96602535247803,162.41016364097595,1.4398114681243896,93.23376623376623
shuffled11000(30-70)(3).fasta,30,68.63140678405762,160.95667433738708,1.4993386268615723,92.5974025974026
shuffled11000(30-70)(4).fasta,30,67.15275311470032,158.56121182441711,1.5406429767608643,93.2987012987013
shuffled11000(30-70)(5).fasta,30,67.35981321334839,161.76750421524048,1.4629206657409668,91.05194805194805
shuffled11000(40-60)(1).fasta,40,86.969806432724,135.4455368518829,1.6310398578643799,86.27272727272727
shuffled11000(40-60)(2).fasta,40,89.62060546875,138.30202794075012,1.611100673675537,95.48484848484848
shuffled11000(40-60)(3).fasta,40,87.28274726867676,139.43358874320984,1.5314178466796875,94.81818181818183
shuffled11000(40-60)(4).fasta,40,87.976238489151,135.186096906662,1.6226444244384766,94.66666666666667
shuffled11000(40-60)(5).fasta,40,88.23870277404785,136.0824716091156,1.7545230388641357,95.60606060606061
shuffled11000(50-50)(1).fasta,50,112.3729600906372,114.3545515537262,1.7419734001159668,96.0909090909091
shuffled11000(50-50)(2).fasta,50,114.096759557724,114.20877599716188,1.7148358821868896,92.0909090909091
shuffled11000(50-50)(3).fasta,50,112.0988748073578,114.44251942634584,1.6853828430175781,96.94545454545455
shuffled11000(50-50)(4).fasta,50,110.3632071018219,115.20709657669067,1.8001863956451416,97.12727272727273
shuffled11000(50-50)(5).fasta,50,111.63710331916808,117.99271821975708,1.6277523040771484,97.41818181818182
shuffled11000(60-40)(1).fasta,60,136.6935691833496,93.76686716079712,1.6745185852050781,97.04545454545455
shuffled11000(60-40)(2).fasta,60,134.49188208580017,91.00215888023376,1.4910640716552734,95.11363636363637
shuffled11000(60-40)(3).fasta,60,138.51391410827637,93.39148902893066,1.705941915512085,92.27272727272727
shuffled11000(60-40)(4).fasta,60,134.09750819206238,90.27458906173706,1.7221429347991943,97.79545454545455
shuffled11000(60-40)(5).fasta,60,136.31010580062866,91.13228511810304,1.7365784645080566,96.45454545454545
shuffled11000(70-30)(1).fasta,70,159.00135850906372,72.10454797744751,1.8643856048583984,95.0909090909091
shuffled11000(70-30)(2).fasta,70,155.6876196861267,67.11777305603027,1.8217966556549072,97.36363636363636
shuffled11000(70-30)(3).fasta,70,159.57442569732666,67.98410701751709,1.877894401550293,89.45454545454545
shuffled11000(70-30)(4).fasta,70,173.8132085800171,66.80984377861023,1.6744287014007568,93.93939393939394
shuffled11000(70-30)(5).fasta,70,163.37576866149902,66.98689365386963,1.766324758529663,97.75757575757575
shuffled11000(80-20)(1).fasta,80,184.24766898155207,44.72598528862,1.607302188873291,93.18181818181817
shuffled11000(80-20)(2).fasta,80,183.109533071518,44.34209132194519,1.648972511291504,94.18181818181817
shuffled11000(80-20)(3).fasta,80,183.82540321350092,44.97633457183838,1.6753156185150146,95.86363636363636
shuffled11000(80-20)(4).fasta,80,183.32892537117004,45.87554049491882,1.5491523742675781,93.72727272727272
shuffled11000(80-20)(5).fasta,80,182.38304352760315,45.15238642692566,1.4178733825683594,95.5
shuffled11000(90-10)(1).fasta,90,211.32686710357663,22.671607971191406,1.4468255043029785,97.63636363636363
shuffled11000(90-10)(2).fasta,90,203.89254331588745,22.86526751518249,1.344287633895874,98.0
shuffled11000(90-10)(3).fasta,90,201.0056843757629,23.60429835319519,1.3818504810333252,93.36363636363636
shuffled11000(90-10)(4).fasta,90,201.9052443504333,23.02106046676636,1.402923583984375,94.54545454545455
shuffled11000(90-10)(5).fasta,90,204.97743391990664,22.648294925689697,1.4441723823547363,97.18181818181819
